City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
339,Almaznyy,40,RU,scattered clouds,2020-06-20 03:20:42,53,48.04,40.05,73.4,0.0,0.0,13.42
340,Padang,86,ID,overcast clouds,2020-06-20 03:20:42,59,-0.95,100.35,86.04,0.0,0.0,4.25
341,Sao Miguel Do Araguaia,64,BR,broken clouds,2020-06-20 03:20:42,61,-13.28,-50.16,68.9,0.0,0.0,1.45
342,Pionki,71,PL,broken clouds,2020-06-20 03:20:43,42,51.48,21.45,64.99,0.0,0.0,6.08
343,Riverton,92,US,overcast clouds,2020-06-20 03:20:24,35,40.52,-111.94,66.99,0.0,0.0,3.44
344,Manga,86,BF,overcast clouds,2020-06-20 03:20:43,72,11.66,-1.07,78.21,0.0,0.0,5.57
345,Camocim,5,BR,clear sky,2020-06-20 03:20:44,87,-2.9,-40.84,76.33,0.0,0.0,11.59
346,Ribeira Grande,73,PT,broken clouds,2020-06-20 03:18:37,88,38.52,-28.7,64.87,0.0,0.0,17.78
347,Ancud,90,CL,overcast clouds,2020-06-20 03:20:44,93,-41.87,-73.82,48.99,0.0,0.0,11.41
348,Aniva,75,RU,broken clouds,2020-06-20 03:20:45,71,46.71,142.53,51.8,0.0,0.0,17.9
349,Luanda,75,AO,broken clouds,2020-06-20 03:18:38,88,-8.84,13.23,75.2,0.0,0.0,2.24
350,Limuru,75,KE,broken clouds,2020-06-20 03:20:45,87,-1.1,36.65,59.0,0.0,0.0,6.93
351,Mushie,70,CD,broken clouds,2020-06-20 03:20:45,65,-3.02,16.9,70.12,0.0,0.0,2.71
352,Thinadhoo,99,MV,moderate rain,2020-06-20 03:19:07,74,0.53,72.93,83.16,1.06,1.06,9.69
353,Udachnyy,0,RU,clear sky,2020-06-20 03:20:46,31,66.42,112.4,75.2,0.0,0.0,6.71
354,Mitu,100,CO,overcast clouds,2020-06-20 03:20:46,97,1.2,-70.17,72.34,0.0,0.0,0.6
355,Bilma,64,NE,broken clouds,2020-06-20 03:20:46,16,18.69,12.92,83.89,0.0,0.0,5.64
356,Nanortalik,100,GL,light rain,2020-06-20 03:18:38,92,60.14,-45.24,38.68,0.12,0.12,12.82
357,Mount Isa,0,AU,clear sky,2020-06-20 03:20:47,29,-20.73,139.5,78.8,0.0,0.0,9.17
358,Zhifang,90,CN,overcast clouds,2020-06-20 03:20:47,88,30.35,114.32,73.4,0.0,0.0,8.95
359,Hanamaki,40,JP,scattered clouds,2020-06-20 03:20:47,47,39.38,141.12,77.0,0.0,0.0,10.29
360,Ust-Kuyga,24,RU,few clouds,2020-06-20 03:20:47,16,70.02,135.6,90.36,0.0,0.0,4.38
361,Dillon,75,US,broken clouds,2020-06-20 03:16:01,100,34.42,-79.37,73.0,0.0,0.0,6.4
362,Nara,75,JP,broken clouds,2020-06-20 03:18:51,60,34.69,135.8,77.0,0.0,0.0,6.93
363,Inverell,15,AU,few clouds,2020-06-20 03:18:06,53,-29.78,151.12,64.99,0.0,0.0,1.99
364,Sirvintos,2,LT,clear sky,2020-06-20 03:20:49,68,55.05,24.95,68.0,0.0,0.0,2.24
365,Zhezkazgan,0,KZ,clear sky,2020-06-20 03:19:00,34,47.8,67.71,57.2,0.0,0.0,8.95
366,Saint Anthony,75,US,broken clouds,2020-06-20 03:20:49,56,45.02,-93.22,71.6,0.0,0.0,8.05
367,Banfora,94,BF,overcast clouds,2020-06-20 03:20:49,86,10.63,-4.77,75.49,0.0,0.0,2.8
368,Amahai,100,ID,moderate rain,2020-06-20 03:20:51,83,-3.33,128.92,81.14,1.53,1.53,10.98
369,Lodja,15,CD,few clouds,2020-06-20 03:20:51,61,-3.48,23.43,68.76,0.0,0.0,0.36
370,Charters Towers,77,AU,broken clouds,2020-06-20 03:20:51,60,-20.1,146.27,72.54,0.0,0.0,10.65
371,Yakeshi,100,CN,light rain,2020-06-20 03:20:51,85,49.28,120.73,63.9,0.22,0.22,8.12
372,Fortuna,90,US,overcast clouds,2020-06-20 03:17:41,93,40.6,-124.16,57.99,0.0,0.0,6.93
373,Vertientes,16,CU,few clouds,2020-06-20 03:20:52,100,21.26,-78.15,78.8,0.0,0.0,8.05
374,Toora-Khem,1,RU,clear sky,2020-06-20 03:20:52,41,52.47,96.11,67.89,0.0,0.0,4.09
375,Bethel,1,US,clear sky,2020-06-20 03:18:49,82,41.37,-73.41,69.01,0.0,0.0,4.32
376,Carauari,100,BR,overcast clouds,2020-06-20 03:20:52,97,-4.88,-66.9,73.38,0.0,0.0,1.7
377,Constitucion,97,CL,light rain,2020-06-20 03:18:19,92,-35.33,-72.42,54.19,0.14,0.14,6.98
378,Mahanje,60,TZ,broken clouds,2020-06-20 03:20:53,85,-9.93,35.33,57.7,0.0,0.0,2.1
379,Tandil,0,AR,clear sky,2020-06-20 03:20:39,68,-37.32,-59.13,50.0,0.0,0.0,1.01
380,Santa Vitoria Do Palmar,90,BR,overcast clouds,2020-06-20 03:20:53,94,-33.52,-53.37,55.13,0.0,0.0,7.09
381,Samana,6,DO,clear sky,2020-06-20 03:20:54,85,19.21,-69.34,78.98,0.0,0.0,8.32
382,Adre,92,TD,overcast clouds,2020-06-20 03:20:54,71,13.47,22.2,76.21,0.0,0.0,4.92
383,Hobyo,88,SO,overcast clouds,2020-06-20 03:19:06,69,5.35,48.53,78.04,0.0,0.0,19.98
384,Kinsale,20,IE,few clouds,2020-06-20 03:20:54,93,51.71,-8.53,46.99,0.0,0.0,3.36
385,High Level,20,CA,few clouds,2020-06-20 03:20:55,38,58.52,-117.14,77.0,0.0,0.0,8.05
386,Wajima,40,JP,scattered clouds,2020-06-20 03:20:55,64,37.4,136.9,69.8,0.0,0.0,4.7
387,Miami,90,US,overcast clouds,2020-06-20 03:18:49,88,25.77,-80.19,78.01,0.0,0.0,4.7
388,Mezhdurechensk,100,RU,light rain,2020-06-20 03:20:55,93,53.69,88.06,52.86,0.61,0.61,2.66
389,Navahrudak,30,BY,scattered clouds,2020-06-20 03:20:55,98,53.6,25.83,60.67,0.0,0.0,6.38
390,Paveh,0,IR,clear sky,2020-06-20 03:20:56,44,35.04,46.36,59.0,0.0,0.0,1.97
